category_id,category_name,period_id,period_name
1,日本史,1,旧石器時代
1,日本史,2,縄文時代
1,日本史,3,弥生時代
1,日本史,4,古墳時代
1,日本史,5,飛鳥時代
1,日本史,6,奈良時代
1,日本史,7,平安時代
1,日本史,8,鎌倉時代
1,日本史,9,室町時代
1,日本史,10,安土桃山時代
1,日本史,11,江戸時代
1,日本史,12,明治時代
1,日本史,13,大正時代
1,日本史,14,昭和時代
1,日本史,15,平成時代
1,日本史,16,令和時代
2,東洋史,49,先史時代
2,東洋史,50,古代（王朝時代）
2,東洋史,51,中世
2,東洋史,52,近世
2,東洋史,53,近代
2,東洋史,54,現代
3,西洋史,44,古代
3,西洋史,45,中世
3,西洋史,46,近世
3,西洋史,47,近代
3,西洋史,48,現代
5,政治史,36,古代国家
5,政治史,37,封建制
5,政治史,38,絶対王政
5,政治史,39,近代国家（立憲国家）
5,政治史,40,大衆民主主義
5,政治史,41,全体主義体制
5,政治史,42,冷戦体制
5,政治史,43,グローバル時代
6,西洋文化史,28,古典古代文化
6,西洋文化史,29,中世文化
6,西洋文化史,30,ルネサンス
6,西洋文化史,31,バロック
6,西洋文化史,32,啓蒙時代
6,西洋文化史,33,ロマン主義
6,西洋文化史,34,近代文化
6,西洋文化史,35,現代文化
7,仏教史,25,原始仏教
7,仏教史,26,部派仏教
7,仏教史,27,大乗仏教
8,キリスト教史,21,原始キリスト教
8,キリスト教史,22,古代教会
8,キリスト教史,23,中世教会
8,キリスト教史,24,宗教改革以降
9,イスラム教史,17,初期イスラム
9,イスラム教史,18,イスラム帝国
9,イスラム教史,19,分裂・地域化
9,イスラム教史,20,近現代イスラム