id,name,religion,parent_sect,description,note,time_label,time_calendar_era,time_start_year,time_end_year,time_is_approximate,founders
7,カトリック,キリスト教,,ローマ教皇中心,,年未詳,CE,,,0,
1,シヴァ派,ヒンドゥー教,,破壊神シヴァを中心,,年未詳,CE,,,0,
11,シーア派,イスラム教,,指導者血統を重視,,年未詳,CE,,,0,
10,スンナ派,イスラム教,,多数派,,年未詳,CE,,,0,
9,プロテスタント,キリスト教,,宗教改革で誕生,,年未詳,CE,,,0,
2,ヴィシュヌ派,ヒンドゥー教,,維持神ヴィシュヌを信仰,,年未詳,CE,,,0,
3,上座部仏教,仏教,,戒律重視・原始的,,年未詳,CE,,,0,
22,国家神道,神道,,国家が神道を統制し、天皇中心の体制を支えた。,,1868-1945,CE,1868,1945,0,
4,大乗仏教,仏教,,多くの人の救済を重視,,年未詳,CE,,,0,
15,天台宗,仏教,,すべての人が仏になれるとする総合仏教。後の宗派の母体。,,ca. 805,CE,805,,1,
14,奈良仏教（南都六宗）,仏教,,国家仏教として保護され、学問中心の仏教。,,ca. 701,CE,701,,1,
6,改革派,ユダヤ教,,,,年未詳,CE,,,0,
21,日蓮宗,仏教,,「法華経こそ唯一の正しい教え」とする強い信念の宗派。,,1253,CE,1253,,0,
20,曹洞宗,仏教,,坐禅によって悟りを得ることを重視。,,1227,CE,1227,,0,
12,朱子学,儒教,,,,年未詳,CE,,,0,
8,正教会,キリスト教,,東ローマ系,,年未詳,CE,,,0,
5,正統派,ユダヤ教,,,,年未詳,CE,,,0,
17,浄土宗,仏教,,「南無阿弥陀仏」と唱えれば救われると説く。,,1175,CE,1175,,0,
18,浄土真宗,仏教,,他力本願を徹底し、信じる心を重視。,,ca. 1224,CE,1224,,1,
16,真言宗,仏教,,呪文や儀式（密教）で即身成仏を目指す。,,ca. 806,CE,806,,1,
19,臨済宗,仏教,,坐禅によって悟りを得ることを重視。,,1191,CE,1191,,0,
13,陽明学,儒教,,,,年未詳,CE,,,0,