person_id,person_name,role_id,role_title,description,note,from_calendar_era,from_year,from_is_approximate,to_calendar_era,to_year,to_is_approximate
1,推古天皇,1,天皇,,,CE,592,0,CE,628,0
2,天智天皇（中大兄皇子）,1,天皇,,,CE,668,0,CE,671,0
3,天武天皇,1,天皇,,,CE,673,0,CE,686,0
4,聖武天皇,1,天皇,,,CE,724,0,CE,749,0
5,桓武天皇,1,天皇,,,CE,781,0,CE,806,0
6,後醍醐天皇,1,天皇,,,CE,1318,0,CE,1339,0
7,始皇帝,3,中華皇帝,,,BCE,221,0,BCE,210,0
8,高祖,3,中華皇帝,,,BCE,202,0,BCE,195,0
9,武帝,3,中華皇帝,,,BCE,141,0,BCE,87,0
10,文帝,3,中華皇帝,,,CE,581,0,CE,604,0
11,煬帝,3,中華皇帝,,,CE,604,0,CE,618,0