id,name,parent_region,description,note
2,アジア,世界,,
4,アフリカ,世界,,
22,アメリカ,世界,,
32,インダス文明圏,古代文明圏,,
31,エジプト文明圏,古代文明圏,,
7,オセアニア,世界,,
25,オーストラリア,オセアニア,,
24,カリブ海地域,アメリカ,,
28,ポリネシア,オセアニア,,
27,ミクロネシア,オセアニア,,
30,メソポタミア文明圏,古代文明圏,,
26,メラネシア,オセアニア,,
35,ユーラシア北部,世界,,
3,ヨーロッパ,世界,,
1,世界,,,
11,中央アジア,アジア,,
20,中央アフリカ,アフリカ,,
23,中央アメリカ,アメリカ,,
34,中央ヨーロッパ,ヨーロッパ,,
17,北アフリカ,アフリカ,,
5,北アメリカ,アメリカ,,
15,北ヨーロッパ,ヨーロッパ,,
10,南アジア,アジア,,
6,南アメリカ,アメリカ,,
14,南ヨーロッパ,ヨーロッパ,,
21,南部アフリカ,アフリカ,,
29,古代文明圏,,,
8,東アジア,アジア,,
19,東アフリカ,アフリカ,,
16,東ヨーロッパ,ヨーロッパ,,
9,東南アジア,アジア,,
12,西アジア（中東）,アジア,,
18,西アフリカ,アフリカ,,
13,西ヨーロッパ,ヨーロッパ,,
33,黄河文明圏,古代文明圏,,