dynasty_id,dynasty_name,polity_id,polity_name
1,徳川氏,32,江戸幕府
2,ウマイヤ朝,16,イスラム帝国
3,アッバース朝,16,イスラム帝国
4,ファーティマ朝,16,イスラム帝国
5,カロリング朝,19,フランク王国
5,カロリング朝,47,カロリング帝国
6,カペー朝,24,フランス王国
7,ヴァロワ朝,24,フランス王国
8,ブルボン朝,24,フランス王国
8,ブルボン朝,42,スペイン王国
9,ハプスブルク家,20,神聖ローマ帝国
9,ハプスブルク家,42,スペイン王国
9,ハプスブルク家,45,オランダ共和国
9,ハプスブルク家,46,オランダ王国
9,ハプスブルク家,67,オーストリア帝国
9,ハプスブルク家,68,オーストリア＝ハンガリー帝国
10,サファヴィー朝,86,サファヴィー朝ペルシア
11,ティムール朝,87,ティムール帝国
13,ラーマ朝,77,タイ王国
14,ホーエンツォレルン家,26,ドイツ帝国
14,ホーエンツォレルン家,66,プロイセン王国
15,ロマノフ家,71,ロシア帝国
16,夏,88,夏
17,商,89,商
18,西周,90,周
19,東周,90,周
20,秦,91,秦帝国
21,前漢,92,漢帝国
22,新,92,漢帝国
23,後漢,92,漢帝国
24,魏,93,魏
25,蜀漢,94,蜀漢
26,呉,95,呉
27,西晋,96,西晋
28,東晋,97,東晋
29,宋（南朝）,98,宋（南朝）
30,斉（南朝）,99,斉（南朝）
31,梁,100,梁
32,陳,101,陳
33,北魏,102,北魏
34,東魏,103,東魏
35,西魏,104,西魏
36,北斉,105,北斉
37,北周,106,北周
38,隋,107,隋帝国
39,唐,108,唐帝国
40,後梁,109,後梁
41,後唐,110,後唐
42,後晋,111,後晋
43,後漢,112,後漢
44,後周,113,後周
45,北宋,124,北宋
46,南宋,125,南宋
47,遼,126,遼
48,西夏,127,西夏
49,金,128,金
50,元,129,元帝国
51,明,130,明帝国
52,清,131,清帝国
53,中華民国,132,中華民国
54,中華人民共和国,133,中華人民共和国
55,平氏,29,律令国家（日本）
56,源氏,30,鎌倉幕府
57,北条氏,30,鎌倉幕府
58,セルジューク朝,135,セルジューク系国家
59,ガズナ朝,16,イスラム帝国
60,マムルーク朝,134,マムルーク国
61,グプタ朝,12,グプタ帝国
62,デリー・スルタン朝,16,イスラム帝国
64,クメール王朝,56,クメール帝国
65,メロヴィング朝,19,フランク王国
66,テューダー朝,21,イングランド王国
66,テューダー朝,22,グレートブリテン王国
67,ステュアート朝,21,イングランド王国
67,ステュアート朝,22,グレートブリテン王国
68,ハノーヴァー朝,22,グレートブリテン王国
68,ハノーヴァー朝,23,イギリス連合王国
69,ヴィクトリア朝,23,イギリス連合王国
70,リューリク朝,69,キエフ公国
70,リューリク朝,70,モスクワ大公国
71,ブルボン朝（スペイン）,42,スペイン王国
72,サヴォイア家,40,イタリア王国
73,ナポレオン朝,136,フランス第一帝政
74,ボナパルト家,137,フランス第二帝政
75,藤原氏,29,律令国家（日本）